ID,Mnemónico_PE,Nombre,Descripción,Tipo,Long.,Códigos válidos,Clases,,Catálogo,Comentarios,SubNombre,Hoja,,,,,,,,,,,,,,,,,,,,,,,
11,P1_6,Agua entubada,¿Esta vivienda tiene …,Caracter,1,1...3,3,No tiene agua entubada,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
12,P1_7,Agua no entubada,"Entonces, ¿el agua que usan en esta vivienda…",Caracter,1,1...6,1,La sacan y acarrean de un pozo,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
12,P1_7,Agua no entubada,"Entonces, ¿el agua que usan en esta vivienda…",Caracter,1,1...6,2,La acarrean de una toma o llave comunitaria,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
12,P1_7,Agua no entubada,"Entonces, ¿el agua que usan en esta vivienda…",Caracter,1,1...6,3,La traen de otra vivienda,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
12,P1_7,Agua no entubada,"Entonces, ¿el agua que usan en esta vivienda…",Caracter,1,1...6,4,La trae una pipa,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
12,P1_7,Agua no entubada,"Entonces, ¿el agua que usan en esta vivienda…",Caracter,1,1...6,5,"La acarrean de un río, arroyo o lago",,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
12,P1_7,Agua no entubada,"Entonces, ¿el agua que usan en esta vivienda…",Caracter,1,1...6,6,La captan de la lluvia,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
13,P1_8,Drenaje,¿Esta vivienda tiene drenaje o desagüe conectado a...,Caracter,1,1...5,1,La red pública,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
13,P1_8,Drenaje,¿Esta vivienda tiene drenaje o desagüe conectado a...,Caracter,1,1...5,2,Una fosa séptica,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
13,P1_8,Drenaje,¿Esta vivienda tiene drenaje o desagüe conectado a...,Caracter,1,1...5,3,Una tubería que va a dar a una barranca o grieta,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
13,P1_8,Drenaje,¿Esta vivienda tiene drenaje o desagüe conectado a...,Caracter,1,1...5,4,"Una tubería que va a dar a un río, lago o mar",,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
13,P1_8,Drenaje,¿Esta vivienda tiene drenaje o desagüe conectado a...,Caracter,1,1...5,5,No tiene drenaje,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
14,P1_9,Sanitario,"¿Tienen excusado, retrete, sanitario, letrina u hoyo negro?",Caracter,1,"1,2",1,Sí,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
14,P1_9,Sanitario,"¿Tienen excusado, retrete, sanitario, letrina u hoyo negro?",Caracter,1,"1,2",2,No,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
15,P1_10,Admisión de agua,¿El servicio sanitario…,Caracter,1,1...3,1,Tiene descarga directa de agua,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
15,P1_10,Admisión de agua,¿El servicio sanitario…,Caracter,1,1...3,2,Le echan agua con cubeta,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
15,P1_10,Admisión de agua,¿El servicio sanitario…,Caracter,1,1...3,3,No se le puede echar agua,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
16,P1_11,Sanitario exclusivo,¿Este servicio sanitario lo comparten con otra vivienda?,Caracter,1,"1,2",1,Sí,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
16,P1_11,Sanitario exclusivo,¿Este servicio sanitario lo comparten con otra vivienda?,Caracter,1,"1,2",2,No,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
17,P1_12,Combustible,¿El combustible que más usan para cocinar es...,Caracter,1,1...5,1,Leña o carbón,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
17,P1_12,Combustible,¿El combustible que más usan para cocinar es...,Caracter,1,1...5,2,Gas,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
17,P1_12,Combustible,¿El combustible que más usan para cocinar es...,Caracter,1,1...5,3,Electricidad,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
17,P1_12,Combustible,¿El combustible que más usan para cocinar es...,Caracter,1,1...5,4,Otro combustible,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
17,P1_12,Combustible,¿El combustible que más usan para cocinar es...,Caracter,1,1...5,5,No cocinan,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
18,P1_13,Lugar donde cocinan,¿Cocinan o preparan los alimentos...,Caracter,1,1...3,1,Dentro de la vivienda,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
18,P1_13,Lugar donde cocinan,¿Cocinan o preparan los alimentos...,Caracter,1,1...3,2,En un tejabán o enramada,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
18,P1_13,Lugar donde cocinan,¿Cocinan o preparan los alimentos...,Caracter,1,1...3,3,Otra situación,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
19,P1_13C,"Lugar donde cocinan, Otro lugar (codificado)","¿Cocinan o preparan los alimentos…
Otro lugar",Caracter ,1,"3,4,9",3,Otra situación,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
19,P1_13C,"Lugar donde cocinan, Otro lugar (codificado)","¿Cocinan o preparan los alimentos…
Otro lugar",Caracter ,1,"3,4,9",4,Al Aire libre,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
19,P1_13C,"Lugar donde cocinan, Otro lugar (codificado)","¿Cocinan o preparan los alimentos…
Otro lugar",Caracter ,1,"3,4,9",9,No especificado,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
20,P1_14,Estufa,¿La estufa (fogón) de leña o carbón con la que cocinan tiene chimenea?,Caracter,1,"1,2,9",1,Sí,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
20,P1_14,Estufa,¿La estufa (fogón) de leña o carbón con la que cocinan tiene chimenea?,Caracter,1,"1,2,9",2,No,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
20,P1_14,Estufa,¿La estufa (fogón) de leña o carbón con la que cocinan tiene chimenea?,Caracter,1,"1,2,9",9,No especificado,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
21,P1_15_01,Bienes y TIC,¿En esta vivienda tienen refrigerador?,Caracter,1,"1,2",1,Sí,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
21,P1_15_01,Bienes y TIC,¿En esta vivienda tienen refrigerador?,Caracter,1,"1,2",2,No,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
22,P1_15_02,Bienes y TIC,¿En esta vivienda tienen lavadora?,Caracter,1,"1,2",1,Sí,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
22,P1_15_02,Bienes y TIC,¿En esta vivienda tienen lavadora?,Caracter,1,"1,2",2,No,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
23,P1_15_03,Bienes y TIC,¿En esta vivienda tienen automóvil o camioneta?,Caracter,1,"1,2",1,Sí,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
23,P1_15_03,Bienes y TIC,¿En esta vivienda tienen automóvil o camioneta?,Caracter,1,"1,2",2,No,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
24,P1_15_04,Bienes y TIC,¿En esta vivienda tienen algún aparato para oír la radio?,Caracter,1,"1,2",1,Sí,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
24,P1_15_04,Bienes y TIC,¿En esta vivienda tienen algún aparato para oír la radio?,Caracter,1,"1,2",2,No,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
25,P1_15_05,Bienes y TIC,¿En esta vivienda tienen televisor?,Caracter,1,"1,2",1,Sí,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
25,P1_15_05,Bienes y TIC,¿En esta vivienda tienen televisor?,Caracter,1,"1,2",2,No,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
26,P1_15_06,Bienes y TIC,"¿En esta vivienda tienen computadora, laptop o tablet?",Caracter,1,"1,2",1,Sí,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
26,P1_15_06,Bienes y TIC,"¿En esta vivienda tienen computadora, laptop o tablet?",Caracter,1,"1,2",2,No,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
27,P1_15_07,Bienes y TIC,¿En esta vivienda tienen línea telefónica fija?,Caracter,1,"1,2",1,Sí,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
27,P1_15_07,Bienes y TIC,¿En esta vivienda tienen línea telefónica fija?,Caracter,1,"1,2",2,No,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
28,P1_15_08,Bienes y TIC,¿En esta vivienda tienen teléfono celular?,Caracter,1,"1,2",1,Sí,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
28,P1_15_08,Bienes y TIC,¿En esta vivienda tienen teléfono celular?,Caracter,1,"1,2",2,No,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
29,P1_15_09,Bienes y TIC,¿En esta vivienda tienen conexión a Internet? ,Caracter,1,"1,2",1,Sí,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
29,P1_15_09,Bienes y TIC,¿En esta vivienda tienen conexión a Internet? ,Caracter,1,"1,2",2,No,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
29,P1_15_09,Bienes y TIC,¿En esta vivienda tienen conexión a Internet? ,Caracter,1,"1,2",2,No,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
29,P1_15_09,Bienes y TIC,¿En esta vivienda tienen conexión a Internet? ,Caracter,1,"1,2",2,No,,,Características de la vivienda,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
30,P2_1,Número de personas en la vivienda,"¿Cuántas personas viven normalmente en esta vivienda, contando a los niños chiquitos, ancianos y personas con discapacidad? (cuente también a los empleados domésticos y a los huéspedes que duermen aquí)",Caracter,2,01…13,01...22,Personas,,,"Sección II. Residentes, hogares y lista de personas",TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
31,P2_3,Número de hogares,"Entonces, ¿cuántos hogares o grupos de personas tienen gasto separado para comer, contando el de usted?",Caracter,1,2…4,2…4,Hogares,,,"Sección II. Residentes, hogares y lista de personas",TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
31,P2_3,Número de hogares,"Entonces, ¿cuántos hogares o grupos de personas tienen gasto separado para comer, contando el de usted?",Caracter,1,2…4,2…4,Hogares,,,"Sección II. Residentes, hogares y lista de personas",TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
31,P2_3,Número de hogares,"Entonces, ¿cuántos hogares o grupos de personas tienen gasto separado para comer, contando el de usted?",Caracter,1,2…4,2…4,Hogares,,,"Sección II. Residentes, hogares y lista de personas",TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
32,FAC_VIV,Factor,Factor de expansión a nivel vivienda,Numérico,5,1021…227263,,,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
32,FAC_VIV,Factor,Factor de expansión a nivel vivienda,Numérico,5,1021…227263,,,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
33,T_LOC_UR,Localidad urbano-rural,"Tamaño de localidad, segunda agrupación",Caracter,1,"1,2",1.0,Localidad Urbana (2 500 y más habitantes) ,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
33,T_LOC_UR,Localidad urbano-rural,"Tamaño de localidad, segunda agrupación",Caracter,1,"1,2",2.0,Localidad Rural (menos de 2 500 habitantes),,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
34,T_LOC_AG1,Tamaño de localidad (Agrupado),"Tamaño de localidad, tercera agrupación",Caracter,1,"1,2",1.0,Localidad de 15 000 y más habitantes,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
34,T_LOC_AG1,Tamaño de localidad (Agrupado),"Tamaño de localidad, tercera agrupación",Caracter,1,"1,2",2.0,Localidad menor de 15 000 habitantes,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
35,P1_1_AG,Material en techos (agrupada) ,Material en techos (agrupada) ,Caracter,1,1…6,1.0,Material de desecho y lámina de cartón ,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
35,P1_1_AG,Material en techos (agrupada) ,Material en techos (agrupada) ,Caracter,1,1…6,2.0,Lámina metálica,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
35,P1_1_AG,Material en techos (agrupada) ,Material en techos (agrupada) ,Caracter,1,1…6,3.0,Lámina de asbesto ,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
35,P1_1_AG,Material en techos (agrupada) ,Material en techos (agrupada) ,Caracter,1,1…6,4.0,Palma o paja y madera o tejamanil ,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
35,P1_1_AG,Material en techos (agrupada) ,Material en techos (agrupada) ,Caracter,1,1…6,5.0,Terrado con viguería y teja ,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
35,P1_1_AG,Material en techos (agrupada) ,Material en techos (agrupada) ,Caracter,1,1…6,6.0,Losa de concreto o vigueta con bovedilla ,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
36,P1_7_ AG,Fuente de abastecimiento de agua (agrupada) ,Fuente de abastecimiento de agua (agrupada) ,Caracter,1,1…4,1.0,De otra vivienda  ,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
36,P1_7_ AG,Fuente de abastecimiento de agua (agrupada) ,Fuente de abastecimiento de agua (agrupada) ,Caracter,1,1…4,2.0,De llave pública o hidrante. ,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
36,P1_7_ AG,Fuente de abastecimiento de agua (agrupada) ,Fuente de abastecimiento de agua (agrupada) ,Caracter,1,1…4,3.0,De una pipa,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
36,P1_7_ AG,Fuente de abastecimiento de agua (agrupada) ,Fuente de abastecimiento de agua (agrupada) ,Caracter,1,1…4,4.0,"De pozo, río, arroyo, lago, de la lluvia u otro.",,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
37,P1_11_AG,Disponibilidad de excusado según uso exclusivo y admisión directa de agua ,Disponibilidad de excusado según uso exclusivo y admisión directa de agua ,Caracter,1,"1…5,7",1.0,Servicio sanitario exclusivo con admisión directa de agua,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
37,P1_11_AG,Disponibilidad de excusado según uso exclusivo y admisión directa de agua ,Disponibilidad de excusado según uso exclusivo y admisión directa de agua ,Caracter,1,"1…5,7",2.0,Servicio sanitario exclusivo con admisión manual de agua,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
37,P1_11_AG,Disponibilidad de excusado según uso exclusivo y admisión directa de agua ,Disponibilidad de excusado según uso exclusivo y admisión directa de agua ,Caracter,1,"1…5,7",3.0,Servicio sanitario exclusivo sin admisión de agua,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
37,P1_11_AG,Disponibilidad de excusado según uso exclusivo y admisión directa de agua ,Disponibilidad de excusado según uso exclusivo y admisión directa de agua ,Caracter,1,"1…5,7",4.0,Servicio sanitario exclusivo con admisión no especificada,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
37,P1_11_AG,Disponibilidad de excusado según uso exclusivo y admisión directa de agua ,Disponibilidad de excusado según uso exclusivo y admisión directa de agua ,Caracter,1,"1…5,7",5.0,Sin servicio sanitario exclusivo,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
37,P1_11_AG,Disponibilidad de excusado según uso exclusivo y admisión directa de agua ,Disponibilidad de excusado según uso exclusivo y admisión directa de agua ,Caracter,1,"1…5,7",7.0,No disponen de servicio sanitario,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
38,P1_15_AG,Disponibilidad de Bienes (agrupado) ,Disponibilidad de Bienes (agrupado) ,Caracter,1,"1,2",1.0,Sin bienes,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
38,P1_15_AG,Disponibilidad de Bienes (agrupado) ,Disponibilidad de Bienes (agrupado) ,Caracter,1,"1,2",2.0,Con al menos un bien,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
39,HOGAR_AG,Número de hogares en la vivienda (agrupado),Número de hogares en la vivienda (agrupado),Caracter,1,"1,2",1.0,Un hogar en la vivienda ,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
39,HOGAR_AG,Número de hogares en la vivienda (agrupado),Número de hogares en la vivienda (agrupado),Caracter,1,"1,2",2.0,Dos o más hogares en la vivienda,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
39,HOGAR_AG,Número de hogares en la vivienda (agrupado),Número de hogares en la vivienda (agrupado),Caracter,1,"1,2",2.0,Dos o más hogares en la vivienda,,,Factor de expansión y variables de explotación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
40,ESTRATO,Estrato,Estrato sociodemográfico,Caracter,1,1…4,1,Bajo,,,Variables de estratificación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
40,ESTRATO,Estrato,Estrato sociodemográfico,Caracter,1,1…4,2,Medio bajo,,,Variables de estratificación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
40,ESTRATO,Estrato,Estrato sociodemográfico,Caracter,1,1…4,3,Medio alto,,,Variables de estratificación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
40,ESTRATO,Estrato,Estrato sociodemográfico,Caracter,1,1…4,4,Alto,,,Variables de estratificación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
41,EST_DIS,Estrato muestral,Estrato de diseño muestral,Caracter,3,001…608,001…608,Consecutivo de estrato,,,Variables de estratificación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
42,UPM_DIS,UPM_diseño muestral,Unidad Primaria de Muestreo,Caracter,5,00001…15224,00001…10376,CLAVE UPM,,,Variables de estratificación,TVIVIENDA,,,,,,,,,,,,,,,,,,,,,,,
1,UPM,Unidad Primaria de Muestreo,"Unidad Primaria de
Muestreo",Caracter ,7,0100001..3260039,,,,,Identificación del hogar,THOGAR,,,,,,,,,,,,,,,,,,,,,,,
1,UPM,Unidad Primaria de Muestreo,"Unidad Primaria de
Muestreo",Caracter ,7,0100001..3260039,,,,,Identificación del hogar,THOGAR,,,,,,,,,,,,,,,,,,,,,,,
2,VIV_SEL,Vivienda seleccionada,Vivienda seleccionada,Caracter ,2,01..10,,,,,Identificación del hogar,THOGAR,,,,,,,,,,,,,,,,,,,,,,,
2,VIV_SEL,Vivienda seleccionada,Vivienda seleccionada,Caracter ,2,01..10,,,,,Identificación del hogar,THOGAR,,,,,,,,,,,,,,,,,,,,,,,
3,HOGAR,Consecutivo de hogar,Consecutivo del hogar en la vivienda,Caracter ,1,1….5,,,,,Identificación del hogar,THOGAR,,,,,,,,,,,,,,,,,,,,,,,
4,LLAVE_HOG,Llave de hogar,Clave única de identificación del hogar (UPM+VIV_SEL+hogar),Caracter ,10,010000305….326079818,,,,,Identificación del hogar,THOGAR,,,,,,,,,,,,,,,,,,,,,,,
